Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com diabetes, com consulta e hemoglobina glicada solicitada no semestre"
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q3 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;6.9;0;17004;
RS;430825;FLORIANO PEIXOTO;0;169;0;129;169;1923;8.8;76;1709;
RS;431775;SANTO ANTÔNIO DO PLANALTO;0;183;0;107;183;2085;8.8;58;2018;
MG;312460;ESTRELA DALVA;0;190;0;190;166;2077;8;114;2308;
RS;431795;SANTO EXPEDITO DO SUL;0;211;0;134;211;2396;8.8;64;2287;
MG;314570;OLIVEIRA FORTES;0;217;0;217;181;2261;8;120;2128;
RS;432237;UNISTALDA;0;224;0;224;165;1876;8.8;136;2306;
PR;412310;SANTA AMÉLIA;0;238;0;238;215;2788;7.7;111;3208;
RS;432370;VISTA GAÚCHA;0;272;0;126;272;3086;8.8;46;2858;
PR;410670;CRUZEIRO DO SUL;0;273;0;201;273;3539;7.7;74;4430;
RS;431301;NOVA CANDELÁRIA;0;302;0;236;302;3430;8.8;78;2677;
PR;411100;ITAMBARACÁ;0;354;0;354;407;5289;7.7;87;6516;
MG;314540;OLARIA;0;362;0;362;192;2395;8;189;1694;
PR;412863;DOUTOR ULYSSES;0;379;0;249;379;5572;6.8;66;5525;
MG;315930;SANTA RITA DE JACUTINGA;0;600;0;600;380;4754;8;158;4843;
SP;354810;SANTO ANTÔNIO DO JARDIM;0;631;0;631;346;4022;8.6;182;5926;
RS;431150;LAVRAS DO SUL;0;657;0;657;505;5737;8.8;130;7410;
MG;310250;AMPARO DO SERRA;0;673;0;673;371;4636;8;181;4643;
GO;521225;LAGOA SANTA;0;96;0;96;90;1216;7.4;107;1652;
TO;172015;SÃO FÉLIX DO TOCANTINS;1;120;1;97;120;1906;6.3;81;1610;
AC;120035;MARECHAL THAUMATURGO;1;142;1;59;142;3312;4.3;42;19727;
RS;431235;MONTAURI;1;157;1;84;157;1787;8.8;54;1430;
MG;315380;QUELUZITO;1;189;1;189;182;2275;8;104;1948;
RS;431267;NICOLAU VERGUEIRO;1;203;0;161;203;2302;8.8;79;1667;
PR;412575;SÃO PEDRO DO IGUAÇU;1;212;0;174;212;2749;7.7;82;5745;
MT;510757;RONDOLÂNDIA;1;223;0;135;223;3374;6.6;61;4069;
MG;315860;SANTANA DO DESERTO;1;260;0;210;260;3246;8;81;3985;
RS;430107;ARROIO DO PADRE;1;274;0;210;274;3118;8.8;77;2966;
RS;430915;GRAMADO XAVIER;1;274;0;274;312;3545;8.8;88;4378;
RS;430355;CAMARGO;1;289;0;205;289;3280;8.8;71;2750;
PR;412420;SANTO ANTÔNIO DO CAIUÁ;1;301;0;301;203;2634;7.7;148;2611;
RS;432060;SEVERIANO DE ALMEIDA;1;372;0;270;372;4224;8.8;73;3607;
RS;431125;LAGOÃO;1;382;0;170;382;4336;8.8;45;6469;
MS;500310;CORGUINHO;1;392;0;392;354;4541;7.8;111;6158;
PR;412175;RESERVA DO IGUAÇU;1;429;0;264;429;5574;7.7;62;8127;
RS;431695;SANTA MARIA DO HERVAL;1;429;0;333;429;4879;8.8;78;6382;
SP;350995;CANAS;1;451;0;313;451;5244;8.6;69;5268;
MG;311970;CORONEL XAVIER CHAVES;1;495;0;495;339;4239;8;146;3448;
RS;430265;BROCHIER;1;506;0;316;506;5754;8.8;62;5132;
SP;350310;ARANDU;1;528;0;528;577;6708;8.6;92;6373;
SP;350040;ÁGUAS DA PRATA;1;534;0;534;452;5256;8.6;118;8262;
SP;352490;JAMBEIRO;1;572;0;572;541;6289;8.6;106;6828;
RS;430150;AUGUSTO PESTANA;1;640;0;371;640;7271;8.8;58;6545;
SP;350670;BOA ESPERANÇA DO SUL;1;923;0;923;823;9564;8.6;112;15111;
GO;520640;CRIXÁS;10;1286;1;1286;1186;16029;7.4;108;17136;
TO;171888;SANTA MARIA DO TOCANTINS;10;187;5;187;192;3041;6.3;97;3537;
RS;430085;ARAMBARÉ;10;238;4;238;183;2083;8.8;130;3544;
SP;350030;AGUAÍ;10;2736;0;2736;2442;28397;8.6;112;36981;
RN;241000;PILÕES;10;288;3;288;313;3553;8.8;92;3900;
RS;431844;SÃO JORGE;10;289;3;216;289;3280;8.8;75;2808;
PA;150640;SANTA CRUZ DO ARARI;10;302;3;145;302;5395;5.6;48;10496;
RS;430465;CAPÃO DO CIPÓ;10;327;3;258;327;3713;8.8;79;3745;
MG;310980;CACHOEIRA DOURADA;10;329;3;329;191;2392;8;172;2720;
RS;430320;CACIQUE DOBLE;10;393;3;309;393;4465;8.8;79;5083;
MG;314315;MONTE FORMOSO;10;408;2;408;368;4599;8;111;4939;
SP;350055;ÁGUAS DE SANTA BÁRBARA;10;737;1;737;541;6292;8.6;136;6142;
RS;431245;MORRO REDONDO;10;759;1;759;663;7535;8.8;114;6609;
PA;150770;SÃO SEBASTIÃO DA BOA VISTA;10;903;1;440;903;16133;5.6;49;27302;
RJ;330045;BELFORD ROXO;100;12361;1;12361;12349;124738;9.9;100;515239;
SP;351970;IBIÚNA;100;2214;5;2214;2225;25873;8.6;100;80062;
MG;314900;PEDRA DOURADA;100;275;36;275;260;3252;8;106;2559;
PI;220410;FRANCISCO AYRES;100;396;25;396;337;4951;6.8;118;4300;
GO;520760;FAZENDA NOVA;100;459;22;459;424;5727;7.4;108;5471;
RS;430720;ERVAL GRANDE;100;506;20;343;506;5755;8.8;68;4780;
ES;320250;IBIRAÇU;100;794;13;794;732;10772;6.8;108;12701;
MG;311820;CONQUISTA;100;812;12;812;594;7431;8;137;6997;
