Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de pessoas com hipertensão, com consulta e pressão arterial aferida no semestre"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q3 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
AM;130310;NOVA OLINDA DO NORTE;1291;3388;38;3388;3160;19753;16;107;38665;
BA;290030;ACAJUTIBA;1291;4102;31;3369;4102;16276;25.2;82;15214;
MG;315250;POUSO ALEGRE;12918;28609;45;28609;32740;118194;27.7;87;154293;
ES;320013;ÁGUIA BRANCA;1292;2758;47;2758;2462;9655;25.5;112;9621;
MS;500800;TERENOS;1292;3277;39;3277;3756;15332;24.5;87;22721;
SC;420470;CUNHA PORÃ;1292;3492;37;3492;2941;12460;23.6;119;11150;
SC;420670;HERVAL D'OESTE;1292;5035;26;5035;5693;24123;23.6;88;22820;
MG;312920;HELIODORA;1293;2024;64;2024;1871;6753;27.7;108;6623;
MG;317103;VERDELÂNDIA;1293;2228;58;1612;2228;8042;27.7;72;9527;
BA;290035;ADUSTINA;1298;3447;38;3447;3249;12893;25.2;106;17209;
BA;291690;ITIRUÇU;1299;3524;37;3524;2998;11895;25.2;118;12482;
RS;431413;PAULO BENTO;130;1194;11;1194;721;2709;26.6;166;2303;
PB;250890;MAMANGUAPE;1295;15632;8;15632;11739;49533;23.7;133;45385;
MT;510330;COMODORO;1298;4191;31;3309;4191;19404;21.6;79;21249;
RS;431600;ROLANTE;1298;5982;22;5982;5502;20685;26.6;109;21591;
MG;313535;JAPONVAR;1299;2757;47;2757;2411;8704;27.7;114;7991;
RS;431647;SALVADOR DAS MISSÕES;130;1053;12;1053;878;3301;26.6;120;2734;
SP;352220;ITAPECERICA DA SERRA;1303;16228;8;16228;11661;55005;21.2;139;179574;
MA;211107;SÃO JOÃO DO SOTER;1306;4423;30;4423;3613;18720;19.3;122;18746;
GO;521440;NAZÁRIO;1308;2375;55;2375;2231;9534;23.4;106;9375;
MG;314830;PAULA CÂNDIDO;1308;3528;37;3528;2810;10146;27.7;126;9597;
RS;430965;HULHA NEGRA;130;1305;10;1305;1489;5599;26.6;88;6894;
PB;251070;PASSAGEM;130;730;18;576;730;2908;25.1;79;2453;
MG;316295;SÃO JOSÉ DA LAPA;1301;5722;23;5722;5547;23908;23.2;103;24490;
SP;353580;PARANAPANEMA;1302;4780;27;4780;4842;20007;24.2;99;20588;
SC;421470;RIO DOS CEDROS;1303;3276;40;3276;3113;13192;23.6;105;11937;
SP;350300;ARAMINA;1306;2048;64;2048;1633;6747;24.2;125;5689;
RJ;330570;SUMIDOURO;131;4111;3;4111;4185;14895;28.1;98;15709;
MG;310330;ARACITABA;131;962;14;962;613;2213;27.7;157;2056;
PR;411070;IRATI;1310;6715;20;6715;7717;33700;22.9;87;61439;
BA;290190;APORÁ;1311;4170;31;4170;4069;16148;25.2;102;17840;
PE;260415;CASINHAS;1308;3945;33;3945;3319;14182;23.4;119;14395;
MA;211170;SÃO VICENTE FERRER;1308;4206;31;4206;3574;18516;19.3;118;22452;
MG;311190;CANA VERDE;1309;2333;56;2333;1744;6295;27.7;134;5585;
PA;150175;BREJO GRANDE DO ARAGUAIA;131;1149;11;1149;1170;7644;15.3;98;7357;
MG;311560;CEDRO DO ABAETÉ;131;550;24;550;398;1438;27.7;138;1150;
BA;290090;ALMADINA;1311;1841;71;1841;1531;6076;25.2;120;5273;
PB;250770;JUAZEIRINHO;1312;4790;27;4790;4767;18994;25.1;100;18422;
MG;312830;GUARANÉSIA;1312;6286;21;6286;6191;22351;27.7;102;19014;
SC;421640;SÃO JOÃO DO SUL;1315;2192;60;2192;2150;9111;23.6;102;7332;
