Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de gestantes com realização de exames para sífilis e HIV
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q3 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;82;0;17004;
RS;432235;UNIÃO DA SERRA;0;0;0;0;0;1354;0;0;1084;
RS;431046;IPIRANGA DO SUL;0;1;0;0;1;2108;1;0;1871;
GO;521225;LAGOA SANTA;0;1;0;1;1;1216;1;100;1652;
SP;350040;ÁGUAS DA PRATA;0;10;0;0;10;5256;16;0;8262;
MG;314040;MARMELÓPOLIS;0;10;0;4;10;3116;9;40;2701;
RS;430185;BARRA DO GUARITA;0;10;0;5;10;3645;9;50;3266;
MG;316810;TAPIRA;0;11;0;0;11;4796;11;0;4890;
MG;311970;CORONEL XAVIER CHAVES;0;11;0;11;5;4239;4;220;3448;
GO;520810;FORMOSO;0;12;0;12;14;4668;12;86;4098;
MG;313800;LARANJAL;0;12;0;6;12;7062;12;50;6856;
RS;432132;TAQUARUÇU DO SUL;0;13;0;13;9;3767;7;144;3081;
PI;221062;SEBASTIÃO BARROS;0;13;0;9;13;4347;10;69;3434;
RS;431150;LAVRAS DO SUL;0;14;0;11;14;5737;18;79;7410;
PR;411100;ITAMBARACÁ;0;15;0;1;15;5289;18;7;6516;
MG;317115;VERMELHO NOVO;0;16;0;16;10;5638;9;160;4852;
SP;354210;RAFARD;0;16;0;2;16;5183;29;13;9126;
RS;430490;CASCA;0;17;0;0;17;8327;19;0;9070;
RS;430150;AUGUSTO PESTANA;0;18;0;15;18;7271;16;83;6545;
RS;430030;ALECRIM;0;19;0;19;9;7297;7;211;5710;
MG;310770;BOM JESUS DO AMPARO;0;19;0;9;19;5792;20;47;6182;
RS;431517;PROTÁSIO ALVES;0;2;0;0;2;2194;2;0;1929;
RS;431725;SANTA TEREZA;0;2;0;2;0;1952;0;0;1722;
RS;430461;CANUDOS DO VALE;0;2;0;2;2;2022;2;100;1693;
SP;350115;ALUMÍNIO;0;20;0;3;20;6052;64;15;18903;
SP;351925;IARAS;0;22;0;22;10;5565;17;220;9786;
SP;350995;CANAS;0;23;0;0;23;5244;23;0;5268;
SP;353820;PINHALZINHO;0;24;0;13;24;8713;43;54;15564;
MG;310180;ALPERCATA;0;24;0;5;24;6596;27;21;7448;
MG;311600;CHALÉ;0;26;0;15;26;7016;21;58;5695;
MG;310330;ARACITABA;0;3;0;1;3;2213;3;33;2056;
SP;350335;ARCO-ÍRIS;0;3;0;1;3;2327;2;33;1755;
MG;314540;OLARIA;0;3;0;3;3;2395;2;100;1694;
RS;431795;SANTO EXPEDITO DO SUL;0;3;0;3;3;2396;3;100;2287;
PR;410110;ANDIRÁ;0;38;0;38;37;12707;58;103;19823;
MG;312460;ESTRELA DALVA;0;4;0;0;4;2077;4;0;2308;
MG;311690;COMENDADOR GOMES;0;4;0;4;2;3331;2;200;3128;
MG;316580;SENADOR JOSÉ BENTO;0;4;0;4;3;1805;2;133;1422;
SC;421085;MIRIM DOCE;0;5;0;1;5;2871;4;20;2257;
RS;431171;MAÇAMBARÁ;0;5;0;1;5;3428;7;20;4539;
RS;431673;SANTA CECÍLIA DO SUL;0;5;0;2;5;2092;4;40;1630;
RS;431261;MUITOS CAPÕES;0;5;0;4;5;3360;5;80;3184;
RS;431335;NOVA ROMA DO SUL;0;5;0;4;5;4801;4;80;3743;
MG;315860;SANTANA DO DESERTO;0;6;0;0;6;3246;7;0;3985;
MG;315620;ROCHEDO DE MINAS;0;6;0;1;6;2683;5;17;2335;
MG;311960;CORONEL PACHECO;0;6;0;5;6;3105;6;83;3095;
MG;314940;PEDRO TEIXEIRA;0;6;0;6;1;2269;1;600;1804;
SP;351330;CRUZÁLIA;0;6;0;6;4;2657;3;150;2021;
RS;430511;CENTENÁRIO;0;6;0;6;5;3125;5;120;2865;
SP;353250;NEVES PAULISTA;0;13;0;10;13;6031;19;77;8917;
RS;432218;TUPANCI DO SUL;0;2;0;0;2;1630;2;0;1447;
MG;314780;PASSA-VINTE;0;3;0;0;3;2219;3;0;2024;
SP;353100;MONÇÕES;0;3;0;1;3;2555;3;33;2274;
PR;410010;ABATIÁ;0;31;0;25;31;7937;29;81;7360;
PR;410752;ESPERANÇA NOVA;0;7;0;2;7;2346;5;29;1633;
MG;315930;SANTA RITA DE JACUTINGA;0;7;0;3;7;4754;7;43;4843;
RS;431267;NICOLAU VERGUEIRO;0;7;0;4;7;2302;5;57;1667;
MG;311850;CONSOLAÇÃO;0;7;0;7;4;1973;4;175;1786;
SP;351495;EMBAÚBA;0;7;0;7;4;2751;4;175;2446;
SP;355420;TEJUPÁ;0;7;0;7;6;1726;15;117;4452;
RS;432340;VILA MARIA;0;7;0;7;6;3947;7;117;4368;
MG;310360;ARANTINA;0;8;0;0;8;3025;7;0;2779;
MG;310720;BOCAINA DE MINAS;0;8;0;0;8;4318;9;0;5088;
RS;431125;LAGOÃO;0;8;0;1;8;4336;12;13;6469;
SP;354040;POPULINA;0;8;0;3;8;4361;8;38;4136;
RS;430692;ENGENHO VELHO;0;8;0;4;8;1569;5;50;932;
MG;311900;CORDISLÂNDIA;0;8;0;8;8;3620;8;100;3546;
MG;312850;GUARARÁ;0;9;0;2;9;4215;8;22;3755;
MG;315970;SANTA ROSA DA SERRA;0;9;0;5;9;3328;9;56;3364;
SC;421055;MAREMA;0;9;0;9;6;2429;4;150;1703;
PR;412575;SÃO PEDRO DO IGUAÇU;0;9;0;9;9;2749;19;100;5745;
MT;510120;ARAGUAINHA;1;1;100;1;0;1038;0;0;909;
RS;431164;LINHA NOVA;1;1;100;1;0;1442;0;0;1724;
RS;431220;MAXIMILIANO DE ALMEIDA;1;10;10;10;10;4669;9;100;4254;
RS;431700;SANTANA DA BOA VISTA;1;10;10;3;10;4801;17;30;8037;
GO;521940;SANTA RITA DO ARAGUAIA;1;11;9;8;11;5093;20;73;9110;
RS;431695;SANTA MARIA DO HERVAL;1;12;8;1;12;4879;16;8;6382;
RS;430705;ERNESTINA;1;12;8;12;7;3584;6;171;3171;
MG;316660;SERRA DA SAUDADE;1;1;100;1;1;871;1;100;771;
RS;431842;SÃO JOÃO DA URTIGA;1;10;10;5;10;4797;10;50;4625;
PR;410712;DIAMANTE DO SUL;1;13;8;6;13;3682;12;46;3409;
PR;411470;MARIA HELENA;1;15;7;15;17;6280;15;88;5593;
GO;520660;CUMARI;1;15;7;15;7;3238;6;214;2820;
SP;350370;ARIRANHA;1;17;6;14;17;8201;20;82;9851;
MG;314770;PASSA TEMPO;1;18;6;15;18;8824;16;83;8031;
RS;430925;GUABIJU;1;2;50;2;1;1589;1;200;1478;
MG;310310;ANTÔNIO PRADO DE MINAS;1;2;50;2;1;1767;1;200;1577;
MG;313280;ITAMBÉ DO MATO DENTRO;1;2;50;2;2;2539;2;100;2032;
SC;420520;ERVAL VELHO;1;20;5;11;20;5458;16;55;4423;
MG;315190;POCRANE;1;20;5;16;20;9324;18;80;8288;
SP;351400;DOBRADA;1;20;5;3;20;8075;22;15;9088;
PR;412175;RESERVA DO IGUAÇU;1;21;5;10;21;5574;30;48;8127;
SP;350310;ARANDU;1;23;4;5;23;6708;22;22;6373;
MG;311787;CONFINS;1;25;4;11;25;7502;23;44;6867;
RJ;330090;CAMBUCI;1;28;4;2;28;9684;45;7;15521;
MG;311790;CONGONHAL;1;29;3;22;29;12093;29;76;12209;
RS;430825;FLORIANO PEIXOTO;1;3;33;1;3;1923;3;33;1709;
