Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
Indicador: Proporção de mulheres com coleta de citopatológico na APS
Dados Preliminares:
Considerado apenas equipes (eSF e eAP) homologadas
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q3 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
SC;421550;SANTA CECÍLIA;0;0;0;0;0;0;4366;0;17004;
PR;412175;RESERVA DO IGUAÇU;10;1531;1;1531;1311;5574;1911;117;8127;
TO;170100;ANANÁS;100;2536;4;2536;2559;10325;2338;99;9435;
SC;420120;ANTÔNIO CARLOS;1001;2976;34;2976;3222;11480;2445;92;8712;
RS;431046;IPIRANGA DO SUL;100;557;18;557;611;2108;542;91;1871;
GO;521580;PALMELO;100;764;13;764;796;2851;665;96;2382;
BA;293320;VERA CRUZ;1000;10358;10;10358;9024;32885;12125;115;44185;
MT;510050;ALTO PARAGUAI;1001;1800;56;1800;1739;7176;2808;104;11587;
BA;292710;RODELAS;1001;2436;41;2436;2366;9786;2308;103;9548;
MA;210535;ITAIPAVA DO GRAJAÚ;1001;2753;36;2753;2649;12404;3451;104;16158;
SP;353282;NOVA CAMPINA;1004;2541;40;2541;2412;9503;2529;105;9962;
RS;430210;BENTO GONÇALVES;10015;27726;36;27726;27034;94481;35220;103;123090;
GO;521180;JARAGUÁ;1002;12912;8;12912;12628;46607;14133;102;52160;
PE;261510;TEREZINHA;1002;2400;42;2400;2333;9324;1808;103;7227;
BA;290660;CANDIBA;1002;3450;29;3450;3393;12823;3814;102;14415;
SP;353140;MONTE APRAZÍVEL;1002;5524;18;5524;5164;18889;7013;107;25651;
RN;241410;TENENTE ANANIAS;1003;2803;36;2803;2642;10469;2757;106;10923;
PR;411120;ITAPEJARA D'OESTE;1003;3732;27;3732;3902;14041;3396;96;12220;
BA;290960;CRISÓPOLIS;1003;5014;20;5014;4808;19087;5345;104;21219;
RS;431650;SALVADOR DO SUL;1004;2108;48;2108;2146;7723;2216;98;7975;
MT;510060;ALTO TAQUARI;1005;3267;31;3267;2867;12871;2542;114;11413;
AM;130002;ALVARÃES;1009;2629;38;2629;2227;13096;2788;118;16396;
GO;521900;SANCLERLÂNDIA;1005;2650;38;2650;2711;9289;2227;98;7630;
PE;260845;LAGOA DO CARRO;1005;4958;20;4958;4843;17491;5103;102;18429;
BA;291030;ELÍSIO MEDRADO;1006;2437;41;2437;2492;8880;2281;98;8129;
GO;522060;SILVÂNIA;1006;6217;16;6217;6086;22277;5720;102;20938;
RS;432140;TENENTE PORTELA;1007;3971;25;3971;3954;15361;3445;100;13385;
BA;290900;CORDEIROS;1008;2295;44;2295;2396;8723;2381;96;8667;
SP;351930;IBATÉ;1008;6900;15;6900;6300;24011;9401;110;35830;
PR;410970;IBAITI;1008;8847;11;8847;8407;31995;8370;105;31854;
GO;522070;SÍTIO D'ABADIA;101;606;17;606;611;2316;802;99;3040;
CE;230980;PACOTI;1014;3162;32;3162;3126;12073;3188;101;12313;
BA;292980;SAÚDE;1009;2823;36;2823;2791;10685;3388;101;12971;
RS;431337;NOVA SANTA RITA;1009;5804;17;5804;5371;21216;7717;108;30482;
GO;522230;VILA PROPÍCIO;101;1641;6;1641;1774;6647;1586;93;5941;
RN;240430;GOVERNADOR DIX-SEPT ROSADO;101;3362;3;3362;3169;11894;3494;106;13115;
RS;431115;JÓIA;1012;2096;48;2096;2178;8203;2276;96;8571;
PE;261600;VENTUROSA;1012;4795;21;4795;4333;17340;4707;111;18835;
PA;150470;MOJU;1013;7392;14;7392;5444;26374;17390;136;84251;
AL;270870;SÃO MIGUEL DOS MILAGRES;1014;2911;35;2911;2846;11099;2070;102;8073;
CE;230365;CATUNDA;1018;2613;39;2613;2615;10548;2581;100;10410;
MG;310600;BELA VISTA DE MINAS;1015;2854;36;2854;2795;10221;2808;102;10269;
BA;291510;ITAGI;1015;3472;29;3472;3698;14237;3153;94;12140;
AM;130310;NOVA OLINDA DO NORTE;1015;4213;24;4213;4127;19753;8079;102;38665;
SC;421880;TURVO;1016;3431;30;3431;3398;11744;3785;101;13080;
PB;251550;SERRA BRANCA;1016;3769;27;3769;3815;14497;3633;99;13807;
RN;240650;LAGOA NOVA;1016;4517;22;4517;4418;16893;4153;102;15880;
PR;411570;MATINHOS;1017;11346;9;11346;11267;39399;10211;101;35705;
MG;317160;VIRGEM DA LAPA;1017;3461;29;3461;3612;12998;3815;96;13729;
SP;355360;TAPIRATIBA;1017;3948;26;3948;4053;13805;3799;97;12940;
TO;170710;DIVINÓPOLIS DO TOCANTINS;1022;1990;51;1990;2082;7980;1823;96;6986;
BA;293030;SERRA DOURADA;1018;4245;24;4245;4245;16177;4529;100;17261;
MG;310590;BARROSO;1018;6660;15;6660;6541;22774;6026;102;20981;
PR;411250;JARDIM ALEGRE;1019;3330;31;3330;3502;12568;3084;95;11067;
AM;130210;JAPURÁ;102;1030;10;1030;1183;5380;386;87;1755;
SC;420350;CAMPO ERÊ;1021;2671;38;2671;2867;10774;2212;93;8312;
RS;430530;CHAPADA;1021;2860;36;2860;3112;10571;2712;92;9211;
PB;250640;GURINHÉM;1021;4041;25;4041;4121;15604;3730;98;14125;
MG;312230;DIVINÓPOLIS;10214;50770;20;50770;50371;171486;71232;101;242505;
PI;220253;CARAÚBAS DO PIAUÍ;1022;1605;64;1605;1537;6550;1387;104;5910;
PE;261520;TERRA NOVA;1027;2523;41;2523;2296;9598;2467;110;10314;
TO;170700;DIANÓPOLIS;1027;4812;21;4812;4804;19601;5564;100;22704;
SP;353860;PIRACAIA;1027;5299;19;5299;5161;18417;7739;103;27617;
PI;220177;BOA HORA;1023;1762;58;1762;1743;7032;1697;101;6848;
RS;432170;TRÊS COROAS;1023;4692;22;4692;4227;15616;7835;111;28948;
MA;210690;MONÇÃO;1023;6095;17;6095;5728;26011;7462;106;33888;
SP;351990;IEPÊ;1024;2469;41;2469;2535;9190;2270;97;8228;
PI;220865;QUEIMADA NOVA;1025;2485;41;2485;2626;10044;2364;95;9041;
GO;522150;TURVÂNIA;1026;1600;64;1600;1725;5712;1367;93;4526;
PI;220595;MARCOLÂNDIA;1026;3140;33;3140;3042;12817;2039;103;8590;
SP;353300;NOVA GRANADA;1026;3919;26;3919;3534;13173;5868;111;21871;
MA;210545;JATOBÁ;103;1810;6;1810;1592;7191;2316;114;10464;
SP;353800;PINDAMONHANGABA;10302;36985;28;36985;34867;124022;48323;106;171885;
PR;411730;ORTIGUEIRA;1027;5861;18;5861;5577;21868;5555;105;21783;
RJ;330045;BELFORD ROXO;1028;42296;2;42296;35114;124738;145041;120;515239;
